"tau","2","2.5","3","3.5","4","4.5","5","5.5","6"
12,-0.388572186838338,-0.397159059239774,-0.404470508293967,-0.410780913224474,-0.416288646231509,-0.421141463472132,-0.425452092673636,-0.429308262998225,-0.432779405480961
24,-0.329229940888686,-0.340382036207843,-0.35007569504932,-0.358597246434632,-0.366158392947905,-0.372920224109216,-0.379008150015488,-0.384521647811151,-0.389540870722558
36,-0.287678970701151,-0.300419136441794,-0.311591694739901,-0.321492588678094,-0.330342305461853,-0.338309907229835,-0.34552800711505,-0.352102572501583,-0.358119596787272
48,-0.255653837093592,-0.269590523626089,-0.281870389850529,-0.292800024240522,-0.302608583845782,-0.311472376725453,-0.319530181548038,-0.326893280659139,-0.333652294508096
60,-0.229703667373029,-0.244639638857186,-0.257835310933943,-0.269609399720471,-0.280200434097143,-0.289792204716333,-0.298529612947945,-0.306529046935043,-0.313885449133676
72,-0.208017375897004,-0.223845029866985,-0.237848626942574,-0.250360706361556,-0.261630197064528,-0.27184898221998,-0.281168427045769,-0.289710191283717,-0.297573589981299
84,-0.189518440415686,-0.206180412786259,-0.220930778947642,-0.234117841369747,-0.246002205091295,-0.256784696089052,-0.266623711835906,-0.275646560950686,-0.283957176459274
96,-0.173515574757455,-0.190987249145218,-0.206453273401118,-0.220279986407515,-0.232741215287258,-0.244047804463308,-0.254365943886514,-0.263829133808168,-0.272546314756004
108,-0.159542701740184,-0.177823993111054,-0.193996502331019,-0.208447335605273,-0.221465425990076,-0.233272971118813,-0.244044918345351,-0.253921667822245,-0.263017693442039
120,-0.147277380290612,-0.166389291745321,-0.183277292307889,-0.198352617704753,-0.211921637992475,-0.224219567433179,-0.235431324434988,-0.245705110149508,-0.255161610231891
132,-0.136496787771525,-0.15648104369802,-0.174110647979102,-0.189825211295155,-0.20395148454443,-0.216739802202682,-0.228386592517619,-0.239049004503597,-0.248854803395364
144,-0.127054366652757,-0.147975690176454,-0.166391182923993,-0.182774342915111,-0.197476113302451,-0.21076466675965,-0.222849927128484,-0.23389947058736,-0.244049261659872
156,-0.118870305547843,-0.140821780709064,-0.160088979506346,-0.17718668225341,-0.192495111602344,-0.206303890147619,-0.218839065877849,-0.23028059382897,-0.240774110992756
168,-0.111934835644447,-0.135047861515111,-0.1552606733042,-0.173139660485613,-0.189101379611934,-0.203461879002277,-0.216466930306996,-0.22831152513388,-0.239152968661671
180,-0.106329604524435,-0.130791959338104,-0.152084325471041,-0.170839889300935,-0.187521821074413,-0.202479782767148,-0.215984426641,-0.22824955864491,-0.239446967644876
192,-0.102285714123329,-0.128376081180689,-0.150944451170735,-0.170714774717602,-0.188212863460335,-0.203833071726231,-0.217878793386283,-0.230588346318803,-0.242152205735913
204,-0.100339408687162,-0.128500793460073,-0.152650472662721,-0.173645078506662,-0.192100639199916,-0.2084749647225,-0.223117303990149,-0.236299852562622,-0.248238581831
