"tau","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
12,-0.388572186838338,-0.397159059239774,-0.404470508293967,-0.410780913224474,-0.416288646231509,-0.421141463472132,-0.425452092673636,-0.429308262998225,-0.432779405480961,-0.435921269163394,-0.438779184435978,-0.441390421416965,-0.443785927145941,-0.44599162677906,-0.448029412742369,-0.449917906677284,-0.451673053387213
24,-0.329229940888686,-0.340382036207843,-0.35007569504932,-0.358597246434632,-0.366158392947905,-0.372920224109216,-0.379008150015488,-0.384521647811151,-0.389540870722558,-0.394131271232818,-0.398346919833644,-0.40223294011122,-0.405827329361234,-0.409162342231096,-0.412265557498082,-0.415160711111184,-0.417868354180075
36,-0.287678970701151,-0.300419136441794,-0.311591694739901,-0.321492588678094,-0.330342305461853,-0.338309907229835,-0.34552800711505,-0.352102572501583,-0.358119596787272,-0.363649785772412,-0.368751936942217,-0.373475430757092,-0.37786210245197,-0.381947671710593,-0.385762850506808,-0.389334212585993,-0.392684883686426
48,-0.255653837093592,-0.269590523626089,-0.281870389850529,-0.292800024240522,-0.302608583845782,-0.311472376725453,-0.319530181548038,-0.326893280659139,-0.333652294508096,-0.339881988372011,-0.345644743770947,-0.350993122207995,-0.355971795143676,-0.360619021161235,-0.364967793093762,-0.369046740356489,-0.372880846884759
60,-0.229703667373029,-0.244639638857186,-0.257835310933943,-0.269609399720471,-0.280200434097143,-0.289792204716333,-0.298529612947945,-0.306529046935043,-0.313885449133676,-0.320677287820656,-0.326970148854324,-0.332819389739027,-0.338272138969539,-0.343368827522822,-0.348144379244535,-0.352629148124092,-0.356849664808617
72,-0.208017375897004,-0.223845029866985,-0.237848626942574,-0.250360706361556,-0.261630197064528,-0.27184898221998,-0.281168427045769,-0.289710191283717,-0.297573589981299,-0.304840769354386,-0.311580445377413,-0.317850666115468,-0.323700892696045,-0.329173593536765,-0.334305483762334,-0.339128501365312,-0.343670584961893
84,-0.189518440415686,-0.206180412786259,-0.220930778947642,-0.234117841369747,-0.246002205091295,-0.256784696089052,-0.266623711835906,-0.275646560950686,-0.283957176459274,-0.291641535729806,-0.298771573101109,-0.305408069449505,-0.311602828197261,-0.317400341864991,-0.322839087437819,-0.327952546438364,-0.332770017594013
96,-0.173515574757455,-0.190987249145218,-0.206453273401118,-0.220279986407515,-0.232741215287258,-0.244047804463308,-0.254365943886514,-0.263829133808168,-0.272546314756004,-0.280607574924402,-0.28808826685161,-0.295052045397932,-0.301553153985068,-0.307638174529218,-0.313347386897987,-0.318715838952136,-0.323774198668776
108,-0.159542701740184,-0.177823993111054,-0.193996502331019,-0.208447335605273,-0.221465425990076,-0.233272971118813,-0.244044918345351,-0.253921667822245,-0.263017693442039,-0.271427587917535,-0.279230418368232,-0.28649293741995,-0.293271997507938,-0.29961639725994,-0.305568314750056,-0.311164434801625,-0.31643684610069
120,-0.147277380290612,-0.166389291745321,-0.183277292307889,-0.198352617704753,-0.211921637992475,-0.224219567433179,-0.235431324434988,-0.245705110149508,-0.255161610231891,-0.26390043834373,-0.272004772787093,-0.279544770613,-0.2865801315873,-0.293162056886749,-0.299334767964756,-0.305136700023942,-0.310601450910236
132,-0.136496787771525,-0.15648104369802,-0.174110647979102,-0.189825211295155,-0.20395148454443,-0.216739802202682,-0.228386592517619,-0.239049004503597,-0.248854803395364,-0.257909288679137,-0.266300264474476,-0.27410169397377,-0.2813764400145,-0.288178355864833,-0.294553904428498,-0.300543428994839,-0.306182162386225
144,-0.127054366652757,-0.147975690176454,-0.166391182923993,-0.182774342915111,-0.197476113302451,-0.21076466675965,-0.222849927128484,-0.23389947058736,-0.244049261659872,-0.253411144452726,-0.262078214900883,-0.270128763639089,-0.277629227816304,-0.284636439335258,-0.291199363247437,-0.297360459974101,-0.303156765517963
156,-0.118870305547843,-0.140821780709064,-0.160088979506346,-0.17718668225341,-0.192495111602344,-0.206303890147619,-0.218839065877849,-0.23028059382897,-0.240774110992756,-0.250439133455471,-0.259374921722558,-0.267664776182382,-0.27537924618978,-0.282578569346509,-0.289314553965014,-0.295632051433479,-0.301570121672904
168,-0.111934835644447,-0.135047861515111,-0.1552606733042,-0.173139660485613,-0.189101379611934,-0.203461879002277,-0.216466930306996,-0.22831152513388,-0.239152968661671,-0.249119968873237,-0.258319122289781,-0.266839651139082,-0.274756933323363,-0.28213517894372,-0.289029490900113,-0.295487472857735,-0.301550499200266
180,-0.106329604524435,-0.130791959338104,-0.152084325471041,-0.170839889300935,-0.187521821074413,-0.202479782767148,-0.215984426641,-0.22824955864491,-0.239446967644876,-0.249716682340288,-0.259174264646687,-0.267916118775228,-0.276023434459653,-0.283565167408021,-0.290600326915897,-0.297179755746163,-0.303347531882114
192,-0.102285714123329,-0.128376081180689,-0.150944451170735,-0.170714774717602,-0.188212863460335,-0.203833071726231,-0.217878793386283,-0.230588346318803,-0.242152205735913,-0.252724866886874,-0.262433241248035,-0.271382741081539,-0.27966177917832,-0.287345155834487,-0.294496648095715,-0.301171016564244,-0.307415580007935
204,-0.100339408687162,-0.128500793460073,-0.152650472662721,-0.173645078506662,-0.192100639199916,-0.2084749647225,-0.223117303990149,-0.236299852562622,-0.248238581831,-0.259107479471461,-0.26904856260493,-0.278179088492546,-0.286596854865603,-0.294384166350065,-0.301610849782474,-0.30833657873923,-0.314612688068356
